vessel_ID;vessel_type;arrival_timestamps;time in service;Enter queue timestamp;Enter berth timestamp;Exit berth timestamp;In queue
54;0.0;43.712680491936055;4.679871742698697;43.712680491936055;43.712680491936055;48.39255223463475;0.0
55;0.0;45.088169508168654;11.81881268079626;45.088169508168654;45.088169508168654;56.90698218896492;0.0
56;0.0;49.51123005258331;2.6201377166745154;49.51123005258331;49.51123005258331;52.13136776925782;0.0
57;0.0;49.85103106617494;5.951383383132399;49.85103106617494;49.85103106617494;55.802414449307335;0.0
58;0.0;50.72203822712024;18.635892194272763;50.72203822712024;50.72203822712024;69.35793042139301;0.0
59;0.0;52.722918575880904;3.5817390417021064;52.722918575880904;52.722918575880904;56.30465761758301;0.0
60;0.0;53.87219081580707;13.489055292178156;53.87219081580707;53.87219081580707;67.36124610798522;0.0
61;0.0;54.335094504545054;0.6748375833807616;54.335094504545054;54.335094504545054;55.00993208792582;0.0
62;0.0;55.62858256758791;3.3502674639802836;55.62858256758791;55.62858256758791;58.97885003156819;0.0
63;0.0;56.110139948415394;29.295260112102156;56.110139948415394;56.110139948415394;85.40540006051755;0.0
64;0.0;56.37640475669833;5.080937474921147;56.37640475669833;56.37640475669833;61.45734223161948;0.0
65;0.0;58.48733302847625;1.8281881633112858;58.48733302847625;58.48733302847625;60.31552119178754;0.0
66;0.0;58.58333757932599;17.37686080008372;58.58333757932599;58.58333757932599;75.96019837940972;0.0
67;0.0;58.998065457906804;0.8509169344018703;58.998065457906804;58.998065457906804;59.84898239230868;0.0
68;0.0;59.49083168016097;7.452864512538396;59.49083168016097;59.49083168016097;66.94369619269936;0.0
69;0.0;60.3045433522857;2.457821876828829;60.3045433522857;60.3045433522857;62.76236522911453;0.0
70;0.0;60.410071820026744;2.245038926189288;60.410071820026744;60.410071820026744;62.65511074621603;0.0
71;0.0;62.04673086353764;12.073571086427275;62.04673086353764;62.04673086353764;74.12030194996491;0.0
72;0.0;62.468192787895326;4.244232692607646;62.468192787895326;62.468192787895326;66.71242548050297;0.0
73;0.0;63.018340702053635;26.512155207814175;63.018340702053635;63.018340702053635;89.53049590986781;0.0
74;0.0;63.43754906500452;6.206986270542007;63.43754906500452;63.43754906500452;69.64453533554652;0.0
75;0.0;63.53322563786739;0.8521871975410629;63.53322563786739;63.53322563786739;64.38541283540845;0.0
76;0.0;63.575084827806336;0.9571992088371162;63.575084827806336;63.575084827806336;64.53228403664345;0.0
77;0.0;65.70659618048249;13.160530487499763;65.70659618048249;65.70659618048249;78.86712666798226;0.0
78;0.0;65.93359106966423;15.060536818875265;65.93359106966423;65.93359106966423;80.9941278885395;0.0
79;0.0;66.48460916893833;22.118155386606418;66.48460916893833;66.48460916893833;88.60276455554475;0.0
80;0.0;68.16942463132136;2.028030323970977;68.16942463132136;68.16942463132136;70.19745495529234;0.0
81;0.0;68.51429757045165;4.074372047478568;68.51429757045165;68.51429757045165;72.58866961793021;0.0
82;0.0;70.80565628335681;3.1850044216177515;70.80565628335681;70.80565628335681;73.99066070497456;0.0
83;0.0;71.6192375418475;3.9892160357801845;71.6192375418475;71.6192375418475;75.60845357762769;0.0
84;0.0;74.37574567795642;1.5703383484436517;74.37574567795642;74.37574567795642;75.94608402640007;0.0
85;0.0;75.23127799675748;3.3554775010543874;75.23127799675748;75.23127799675748;78.58675549781186;0.0
86;0.0;75.80902194494236;5.766526431345442;75.80902194494236;75.80902194494236;81.5755483762878;0.0
87;0.0;77.40914356632943;5.08870730142866;77.40914356632943;77.40914356632943;82.49785086775809;0.0
